Chr01_00008907,chr01_000008907
Chr03_26866013,chr03_026866013
Chr03_26866022,chr03_026866022
chr03_27132796,chr03_027132796
Chr03_27449581,chr03_027449581
Chr03_27542326,chr03_027542326
Chr03_28181180,chr03_028181180
Chr03_28282723,chr03_028282723
Chr03_28294150,chr03_028294150
Chr03_28406897,chr03_028406897
Chr03_28585873,chr03_028585873
Chr03_29096387,chr03_029096387
Chr03_29096424,chr03_029096424
Chr03_29096518,chr03_029096518
Chr03_29282349,chr03_029282349
Chr03_29384806,chr03_029384806
Chr03_29581024,chr03_029581024
Chr03_29581066,chr03_029581066
Chr03_29640731,chr03_029640731
Chr03_30010506,chr03_030010506
Chr03_30052012,chr03_030052012
Chr03_30052054,chr03_030052054
Chr03_30052087,chr03_030052087
Chr03_30052102,chr03_030052102
Chr03_30142101,chr03_030142101
Chr03_30194409,chr03_030194409
Chr03_30194445,chr03_030194445
Chr03_30502290,chr03_030502290
Chr03_30880775,chr03_030880775
Chr03_31096283,chr03_031096283
Chr03_31096300,chr03_031096300
Chr03_31426486,chr03_031426486
Chr03_31426633,chr03_031426633
Chr03_31488599,chr03_031488599
Chr03_31887928,chr03_031887928
Chr03_31887982,chr03_031887982
Chr03_31888055,chr03_031888055
Chr03_32155334,chr03_032155334
Chr03_32155380,chr03_032155380
Chr03_32155434,chr03_032155434
Chr03_32155438,chr03_032155438
Chr03_32155458,chr03_032155458
Chr03_32155467,chr03_032155467
Chr03_32161138,chr03_032161138
Chr03_32346429,chr03_032346429
Chr03_32688865,chr03_032688865
Chr03_32690067,chr03_032690067
Chr03_32703445,chr03_032703445
Chr03_32703508,chr03_032703508
Chr03_32935526,chr03_032935526
Chr03_33276230,chr03_033276230
Chr03_33702179,chr03_033702179
Chr03_33827450,chr03_033827450
Chr03_33827495,chr03_033827495
Chr03_33827649,chr03_033827649
Chr03_34002981,chr03_034002981
Chr03_34003093,chr03_034003093
Chr03_34448287,chr03_034448287
Chr03_34448315,chr03_034448315
Chr03_34448344,chr03_034448344
Chr03_34448388,chr03_034448388
Chr03_34448393,chr03_034448393
Chr03_34620174,chr03_034620174
Chr03_35013866,chr03_035013866
Chr03_35108771,chr03_035108771
Chr03_35523338,chr03_035523338
Chr03_35523453,chr03_035523453
Chr03_35523478,chr03_035523478
Chr03_35906951,chr03_035906951
Chr03_35909856,chr03_035909856
Chr03_36236252,chr03_036236252
Chr03_36618909,chr03_036618909
chr04_00422237,chr04_000422237
Chr04_00488486,chr04_000488486
Chr04_00629600,chr04_000629600
Chr04_00629659,chr04_000629659
Chr04_00976297,chr04_000976297
Chr04_01452200,chr04_001452200
Chr04_01789934,chr04_001789934
Chr04_01956986,chr04_001956986
Chr04_01957006,chr04_001957006
Chr04_02201495,chr04_002201495
Chr04_02345551,chr04_002345551
Chr04_02345618,chr04_002345618
Chr04_02346498,chr04_002346498
Chr04_02346571,chr04_002346571
Chr04_02346572,chr04_002346572
Chr04_02407024,chr04_002407024
Chr04_02436363,chr04_002436363
Chr04_02436506,chr04_002436506
Chr04_02436549,chr04_002436549
Chr04_02436571,chr04_002436571
Chr04_02471441,chr04_002471441
Chr04_02471450,chr04_002471450
Chr04_02471511,chr04_002471511
Chr04_02471517,chr04_002471517
Chr04_02471527,chr04_002471527
Chr04_02576971,chr04_002576971
Chr04_02590750,chr04_002590750
Chr04_02592756,chr04_002592756
Chr04_02592757,chr04_002592757
Chr04_02592859,chr04_002592859
Chr04_02592919,chr04_002592919
Chr04_02694804,chr04_002694804
Chr04_03075775,chr04_003075775
Chr04_03075903,chr04_003075903
Chr04_03075916,chr04_003075916
Chr04_03075917,chr04_003075917
Chr04_03075922,chr04_003075922
Chr04_03133030,chr04_003133030
Chr04_03133075,chr04_003133075
Chr04_03408393,chr04_003408393
Chr04_03408577,chr04_003408577
Chr04_03588119,chr04_003588119
Chr04_03590487,chr04_003590487
Chr04_03682788,chr04_003682788
Chr04_03682800,chr04_003682800
chr04_03683243,chr04_003683243
Chr04_03833820,chr04_003833820
Chr04_03930171,chr04_003930171
Chr04_03933996,chr04_003933996
Chr04_03934053,chr04_003934053
Chr04_04233955,chr04_004233955
Chr04_04238292,chr04_004238292
Chr04_04667613,chr04_004667613
Chr04_05170255,chr04_005170255
Chr04_05477225,chr04_005477225
Chr04_05477234,chr04_005477234
Chr04_05480937,chr04_005480937
Chr04_05482022,chr04_005482022
chr04_05528839,chr04_005528839
Chr04_05896622,chr04_005896622
Chr04_05922133,chr04_005922133
Chr04_05922155,chr04_005922155
Chr04_05922162,chr04_005922162
Chr04_06515091,chr04_006515091
Chr04_06557529,chr04_006557529
Chr04_06678351,chr04_006678351
Chr04_06678409,chr04_006678409
Chr04_06700385,chr04_006700385
Chr04_06719136,chr04_006719136
Chr04_06748165,chr04_006748165
Chr04_06748357,chr04_006748357
Chr04_06748382,chr04_006748382
chr04_06765223,chr04_006765223
Chr04_06958475,chr04_006958475
Chr04_07274404,chr04_007274404
Chr04_07550755,chr04_007550755
Chr04_07550836,chr04_007550836
Chr04_08048981,chr04_008048981
Chr04_08367746,chr04_008367746
Chr04_08367846,chr04_008367846
Chr04_08464853,chr04_008464853
Chr04_08464855,chr04_008464855
Chr04_08464995,chr04_008464995
Chr04_08465013,chr04_008465013
Chr04_08472478,chr04_008472478
Chr04_08472669,chr04_008472669
Chr04_08592045,chr04_008592045
Chr04_08592094,chr04_008592094
Chr04_08774447,chr04_008774447
Chr04_08774461,chr04_008774461
Chr04_08894913,chr04_008894913
Chr04_08894914,chr04_008894914
Chr04_08894970,chr04_008894970
Chr04_08895070,chr04_008895070
Chr04_08895117,chr04_008895117
Chr04_09366192,chr04_009366192
Chr04_09366210,chr04_009366210
Chr04_09366306,chr04_009366306
Chr04_09584740,chr04_009584740
Chr04_09760802,chr04_009760802
chr04_10262869,chr04_010262869
Chr04_10267155,chr04_010267155
Chr04_11129236,chr04_011129236
Chr04_11237347,chr04_011237347
Chr04_11913319,chr04_011913319
Chr04_12139484,chr04_012139484
Chr04_12140979,chr04_012140979
Chr04_12546630,chr04_012546630
Chr04_12566505,chr04_012566505
Chr04_12633210,chr04_012633210
Chr04_13350018,chr04_013350018
Chr04_13350194,chr04_013350194
Chr04_13350210,chr04_013350210
Chr04_13382966,chr04_013382966
chr04_13456446,chr04_013456446
Chr04_14625652,chr04_014625652
Chr04_15584655,chr04_015584655
Chr04_15886598,chr04_015886598
Chr04_15886649,chr04_015886649
Chr04_16990270,chr04_016990270
Chr04_17098678,chr04_017098678
Chr04_18279693,chr04_018279693
Chr04_18279851,chr04_018279851
Chr04_18660390,chr04_018660390
Chr04_18665615,chr04_018665615
chr04_18685139,chr04_018685139
Chr04_19039872,chr04_019039872
Chr04_19039902,chr04_019039902
Chr04_19039909,chr04_019039909
Chr04_19039984,chr04_019039984
Chr04_19040070,chr04_019040070
Chr04_19040079,chr04_019040079
Chr04_19397441,chr04_019397441
Chr04_19914195,chr04_019914195
Chr04_20400572,chr04_020400572
Chr04_20916095,chr04_020916095
Chr04_21939272,chr04_021939272
Chr04_22358197,chr04_022358197
Chr04_22358222,chr04_022358222
Chr04_22358241,chr04_022358241
Chr04_22358254,chr04_022358254
Chr04_22358269,chr04_022358269
Chr04_22358279,chr04_022358279
Chr04_22358348,chr04_022358348
Chr04_22358362,chr04_022358362
Chr04_22505399,chr04_022505399
chr04_22623167,chr04_022623167
Chr04_23024557,chr04_023024557
Chr04_24191050,chr04_024191050
Chr04_24191075,chr04_024191075
Chr04_24191133,chr04_024191133
Chr04_24191151,chr04_024191151
Chr04_24191152,chr04_024191152
Chr04_24252554,chr04_024252554
Chr04_24610965,chr04_024610965
Chr04_24611083,chr04_024611083
Chr04_24611088,chr04_024611088
Chr04_24611104,chr04_024611104
Chr04_24996093,chr04_024996093
Chr04_25112157,chr04_025112157
Chr04_25112181,chr04_025112181
Chr04_25274056,chr04_025274056
Chr04_25376659,chr04_025376659
Chr04_25379138,chr04_025379138
Chr04_25821586,chr04_025821586
Chr04_25821709,chr04_025821709
Chr04_25862464,chr04_025862464
Chr04_26375013,chr04_026375013
Chr04_26748307,chr04_026748307
Chr04_26748328,chr04_026748328
Chr04_26748347,chr04_026748347
Chr04_26848687,chr04_026848687
Chr04_26848688,chr04_026848688
Chr04_26848734,chr04_026848734
Chr04_26901109,chr04_026901109
Chr04_26902977,chr04_026902977
Chr04_27470101,chr04_027470101
Chr04_27534397,chr04_027534397
Chr04_27534483,chr04_027534483
Chr04_27755679,chr04_027755679
Chr04_27755699,chr04_027755699
Chr04_28334542,chr04_028334542
Chr04_28381405,chr04_028381405
Chr04_28381436,chr04_028381436
Chr04_28547626,chr04_028547626
Chr04_28547652,chr04_028547652
Chr04_28547661,chr04_028547661
Chr04_28547662,chr04_028547662
Chr04_28547663,chr04_028547663
Chr04_28779073,chr04_028779073
Chr04_29424843,chr04_029424843
Chr04_29424994,chr04_029424994
Chr04_29611178,chr04_029611178
Chr04_29943956,chr04_029943956
Chr04_29943983,chr04_029943983
Chr04_30073526,chr04_030073526
Chr04_30495237,chr04_030495237
Chr04_30541160,chr04_030541160
Chr04_30822144,chr04_030822144
Chr04_30822181,chr04_030822181
Chr04_30843505,chr04_030843505
Chr04_30843514,chr04_030843514
Chr04_30843560,chr04_030843560
Chr04_30843676,chr04_030843676
Chr04_31240655,chr04_031240655
Chr04_31346865,chr04_031346865
Chr04_31346920,chr04_031346920
Chr04_31346928,chr04_031346928
Chr04_31346966,chr04_031346966
Chr04_31347014,chr04_031347014
Chr04_31521590,chr04_031521590
Chr04_31546210,chr04_031546210
Chr04_31546254,chr04_031546254
Chr04_31943082,chr04_031943082
Chr04_32236327,chr04_032236327
Chr04_32250699,chr04_032250699
Chr04_32250770,chr04_032250770
Chr04_32465807,chr04_032465807
Chr04_32466998,chr04_032466998
Chr04_33004241,chr04_033004241
Chr04_33320705,chr04_033320705
Chr04_33354334,chr04_033354334
Chr04_33543459,chr04_033543459
Chr04_33854913,chr04_033854913
Chr04_33854938,chr04_033854938
Chr04_34392819,chr04_034392819
Chr04_35499346,chr04_035499346
Chr04_35944546,chr04_035944546
Chr04_36321735,chr04_036321735
Chr04_36734071,chr04_036734071
Chr05_00142049,chr05_000142049
Chr05_00142187,chr05_000142187
Chr05_00375385,chr05_000375385
Chr05_00932858,chr05_000932858
Chr05_00932945,chr05_000932945
Chr05_01057379,chr05_001057379
Chr05_01057395,chr05_001057395
Chr05_01291662,chr05_001291662
Chr05_01422004,chr05_001422004
Chr05_01422111,chr05_001422111
Chr05_01424374,chr05_001424374
Chr05_01625255,chr05_001625255
Chr05_01786537,chr05_001786537
Chr05_02076245,chr05_002076245
Chr05_02084719,chr05_002084719
Chr05_02161121,chr05_002161121
Chr05_02161168,chr05_002161168
Chr05_02164301,chr05_002164301
Chr05_02164321,chr05_002164321
Chr05_02442039,chr05_002442039
Chr05_02534966,chr05_002534966
Chr05_02535012,chr05_002535012
Chr05_02535079,chr05_002535079
Chr05_02535139,chr05_002535139
Chr05_02544960,chr05_002544960
Chr05_02567882,chr05_002567882
Chr05_02694477,chr05_002694477
Chr05_02694535,chr05_002694535
Chr05_02694553,chr05_002694553
Chr05_02699189,chr05_002699189
Chr05_02860392,chr05_002860392
Chr05_02860471,chr05_002860471
Chr05_02860494,chr05_002860494
Chr05_02860515,chr05_002860515
Chr05_02937714,chr05_002937714
Chr05_03200172,chr05_003200172
Chr05_03311254,chr05_003311254
Chr05_03334150,chr05_003334150
Chr05_03620367,chr05_003620367
Chr05_03704038,chr05_003704038
Chr05_04429761,chr05_004429761
Chr05_04586294,chr05_004586294
Chr05_04586327,chr05_004586327
Chr05_05362893,chr05_005362893
Chr05_05362905,chr05_005362905
Chr05_05362947,chr05_005362947
Chr05_05404797,chr05_005404797
Chr05_05404827,chr05_005404827
Chr05_05429642,chr05_005429642
Chr05_05483085,chr05_005483085
Chr05_05483090,chr05_005483090
Chr05_05483096,chr05_005483096
Chr05_05483111,chr05_005483111
Chr05_05483318,chr05_005483318
Chr05_05620832,chr05_005620832
Chr05_06598078,chr05_006598078
Chr05_06598158,chr05_006598158
Chr05_06612936,chr05_006612936
Chr05_06613086,chr05_006613086
Chr05_06840110,chr05_006840110
Chr05_07148030,chr05_007148030
Chr05_07192119,chr05_007192119
Chr05_07195805,chr05_007195805
Chr05_07195811,chr05_007195811
Chr05_07195848,chr05_007195848
Chr05_07195860,chr05_007195860
Chr05_07195929,chr05_007195929
Chr05_07195938,chr05_007195938
Chr05_07198316,chr05_007198316
Chr05_07198402,chr05_007198402
Chr05_07564099,chr05_007564099
Chr05_07564251,chr05_007564251
Chr05_07564273,chr05_007564273
Chr05_07612787,chr05_007612787
Chr05_07612893,chr05_007612893
Chr05_07612910,chr05_007612910
Chr05_07957700,chr05_007957700
Chr05_08723187,chr05_008723187
Chr05_08723212,chr05_008723212
Chr05_08723242,chr05_008723242
Chr05_08723320,chr05_008723320
Chr05_08723360,chr05_008723360
Chr05_08723385,chr05_008723385
Chr05_08882053,chr05_008882053
Chr05_08882084,chr05_008882084
Chr05_08882098,chr05_008882098
Chr05_09179853,chr05_009179853
Chr05_09403316,chr05_009403316
Chr05_09794297,chr05_009794297
Chr05_09794327,chr05_009794327
Chr05_09794400,chr05_009794400
Chr05_09794422,chr05_009794422
Chr05_09794428,chr05_009794428
Chr05_09794431,chr05_009794431
Chr05_09816026,chr05_009816026
Chr05_10024484,chr05_010024484
Chr05_10024641,chr05_010024641
Chr05_10024682,chr05_010024682
Chr05_10024702,chr05_010024702
Chr05_10616179,chr05_010616179
Chr05_10631569,chr05_010631569
Chr05_10631623,chr05_010631623
Chr05_10631772,chr05_010631772
Chr05_10947758,chr05_010947758
Chr05_10950993,chr05_010950993
Chr05_10951000,chr05_010951000
Chr05_10951091,chr05_010951091
Chr05_11027285,chr05_011027285
Chr05_11027457,chr05_011027457
Chr05_11035453,chr05_011035453
Chr05_11342128,chr05_011342128
Chr05_11759994,chr05_011759994
Chr05_11876981,chr05_011876981
Chr05_12182477,chr05_012182477
Chr05_12200221,chr05_012200221
Chr05_12706893,chr05_012706893
Chr05_12706921,chr05_012706921
Chr05_12706974,chr05_012706974
Chr05_12707007,chr05_012707007
Chr05_13322599,chr05_013322599
Chr05_13955040,chr05_013955040
Chr05_14456106,chr05_014456106
Chr05_15381202,chr05_015381202
Chr05_16062426,chr05_016062426
Chr05_17066492,chr05_017066492
Chr05_17092581,chr05_017092581
Chr05_17693069,chr05_017693069
Chr05_18395452,chr05_018395452
Chr05_18740621,chr05_018740621
Chr05_19320437,chr05_019320437
Chr05_20012129,chr05_020012129
Chr05_20500788,chr05_020500788
Chr05_20500929,chr05_020500929
Chr05_21466997,chr05_021466997
Chr05_21649494,chr05_021649494
Chr05_21649641,chr05_021649641
Chr05_22614172,chr05_022614172
Chr05_22990985,chr05_022990985
Chr05_23753596,chr05_023753596
Chr05_23774043,chr05_023774043
Chr05_23833024,chr05_023833024
Chr05_24093647,chr05_024093647
Chr05_24093668,chr05_024093668
Chr05_24093706,chr05_024093706
Chr05_24093743,chr05_024093743
Chr05_24093752,chr05_024093752
Chr05_24093758,chr05_024093758
Chr05_24093788,chr05_024093788
Chr05_24093794,chr05_024093794
Chr05_24095355,chr05_024095355
Chr05_24152160,chr05_024152160
Chr05_24152211,chr05_024152211
Chr05_24152240,chr05_024152240
Chr05_24154343,chr05_024154343
Chr05_24746401,chr05_024746401
Chr05_24746414,chr05_024746414
Chr05_24776288,chr05_024776288
Chr05_24776317,chr05_024776317
Chr05_24790533,chr05_024790533
Chr05_25502129,chr05_025502129
Chr05_25644178,chr05_025644178
Chr05_25685218,chr05_025685218
Chr05_25685290,chr05_025685290
Chr05_25685303,chr05_025685303
Chr05_25685306,chr05_025685306
Chr05_25685314,chr05_025685314
Chr05_25685335,chr05_025685335
Chr05_25685367,chr05_025685367
Chr05_26015593,chr05_026015593
Chr05_26015623,chr05_026015623
Chr05_26015688,chr05_026015688
Chr05_26052101,chr05_026052101
Chr05_26052220,chr05_026052220
Chr05_26052303,chr05_026052303
Chr05_26126432,chr05_026126432
Chr05_26571850,chr05_026571850
Chr05_26586947,chr05_026586947
Chr05_26926140,chr05_026926140
Chr05_26926141,chr05_026926141
Chr05_26926143,chr05_026926143
Chr05_27466108,chr05_027466108
Chr05_27466209,chr05_027466209
Chr05_27473386,chr05_027473386
Chr05_27473429,chr05_027473429
Chr05_27473504,chr05_027473504
Chr05_27473514,chr05_027473514
Chr05_27473566,chr05_027473566
Chr05_27473576,chr05_027473576
Chr05_27473584,chr05_027473584
Chr05_27746062,chr05_027746062
Chr05_27746078,chr05_027746078
Chr05_27746081,chr05_027746081
Chr05_27746163,chr05_027746163
Chr05_27746176,chr05_027746176
chr05_27860363,chr05_027860363
Chr05_27894180,chr05_027894180
Chr05_27894216,chr05_027894216
Chr05_27894236,chr05_027894236
Chr05_28399352,chr05_028399352
Chr05_28399461,chr05_028399461
Chr05_28807067,chr05_028807067
Chr05_29327001,chr05_029327001
Chr05_29758914,chr05_029758914
Chr05_29759004,chr05_029759004
Chr05_29951087,chr05_029951087
Chr05_30200929,chr05_030200929
Chr05_30200936,chr05_030200936
Chr05_30201038,chr05_030201038
Chr05_30201104,chr05_030201104
Chr05_30205493,chr05_030205493
Chr05_30205620,chr05_030205620
Chr05_30351362,chr05_030351362
Chr05_30351513,chr05_030351513
Chr05_30410220,chr05_030410220
Chr05_30496551,chr05_030496551
Chr05_30496574,chr05_030496574
Chr05_30496615,chr05_030496615
Chr05_30496641,chr05_030496641
Chr05_30496749,chr05_030496749
Chr05_30560418,chr05_030560418
Chr05_30560427,chr05_030560427
Chr05_30879566,chr05_030879566
Chr05_30905635,chr05_030905635
Chr05_30920699,chr05_030920699
Chr05_30983784,chr05_030983784
Chr05_30985074,chr05_030985074
Chr05_30985124,chr05_030985124
Chr05_32125011,chr05_032125011
Chr05_32131430,chr05_032131430
Chr05_32131563,chr05_032131563
chr05_33003747,chr05_033003747
Chr06_00197825,chr06_000197825
Chr06_00197838,chr06_000197838
Chr06_00197937,chr06_000197937
Chr06_00245224,chr06_000245224
Chr06_00261901,chr06_000261901
Chr06_00261923,chr06_000261923
Chr06_00487462,chr06_000487462
Chr06_00487549,chr06_000487549
Chr06_00487552,chr06_000487552
Chr06_00770717,chr06_000770717
Chr06_00796191,chr06_000796191
Chr06_00926253,chr06_000926253
Chr06_01251920,chr06_001251920
Chr06_01448143,chr06_001448143
Chr06_01448165,chr06_001448165
Chr06_01448212,chr06_001448212
Chr06_01594538,chr06_001594538
Chr06_01594728,chr06_001594728
Chr06_01598047,chr06_001598047
Chr06_02058272,chr06_002058272
Chr06_02123611,chr06_002123611
Chr06_02304250,chr06_002304250
Chr06_02304253,chr06_002304253
Chr06_02304260,chr06_002304260
Chr06_02482038,chr06_002482038
Chr06_02886330,chr06_002886330
Chr06_03325915,chr06_003325915
Chr06_03473667,chr06_003473667
Chr06_03473732,chr06_003473732
Chr06_03585798,chr06_003585798
Chr06_03603562,chr06_003603562
Chr06_03603571,chr06_003603571
Chr06_03603574,chr06_003603574
Chr06_03603603,chr06_003603603
Chr06_03614925,chr06_003614925
Chr06_03615066,chr06_003615066
Chr06_03676060,chr06_003676060
chr06_03676061,chr06_003676061
chr06_04094679,chr06_004094679
Chr06_04222640,chr06_004222640
Chr06_04226496,chr06_004226496
Chr06_04257551,chr06_004257551
Chr06_04257555,chr06_004257555
Chr06_04257568,chr06_004257568
Chr06_04356702,chr06_004356702
Chr06_04364028,chr06_004364028
Chr06_04364177,chr06_004364177
Chr06_04609418,chr06_004609418
Chr06_04720381,chr06_004720381
Chr06_04965663,chr06_004965663
Chr06_05064218,chr06_005064218
Chr06_05092307,chr06_005092307
Chr06_05772416,chr06_005772416
Chr06_05772449,chr06_005772449
Chr06_05897749,chr06_005897749
Chr06_05935935,chr06_005935935
Chr06_06037095,chr06_006037095
Chr06_06037182,chr06_006037182
chr06_06181707,chr06_006181707
Chr06_06255097,chr06_006255097
Chr06_06255117,chr06_006255117
Chr06_06255121,chr06_006255121
Chr06_06255130,chr06_006255130
Chr06_06390580,chr06_006390580
Chr06_06390622,chr06_006390622
Chr06_06390719,chr06_006390719
Chr06_06625071,chr06_006625071
chr06_06750670,chr06_006750670
Chr06_07430546,chr06_007430546
Chr06_07931867,chr06_007931867
Chr06_08128049,chr06_008128049
Chr06_08128232,chr06_008128232
Chr06_08128236,chr06_008128236
Chr06_08580059,chr06_008580059
Chr06_08800070,chr06_008800070
Chr06_08800103,chr06_008800103
Chr06_09059061,chr06_009059061
chr06_09375615,chr06_009375615
Chr06_09402314,chr06_009402314
Chr06_09780406,chr06_009780406
Chr06_09906520,chr06_009906520
Chr06_10144506,chr06_010144506
Chr06_10632680,chr06_010632680
chr06_11048637,chr06_011048637
Chr06_11305979,chr06_011305979
Chr06_11306037,chr06_011306037
Chr06_11306117,chr06_011306117
Chr06_11306120,chr06_011306120
Chr06_11306129,chr06_011306129
Chr06_11582568,chr06_011582568
Chr06_11938342,chr06_011938342
Chr06_11938347,chr06_011938347
Chr06_12377501,chr06_012377501
Chr06_12377521,chr06_012377521
Chr06_12377527,chr06_012377527
Chr06_12452171,chr06_012452171
Chr06_12452356,chr06_012452356
Chr06_12510129,chr06_012510129
Chr06_12628617,chr06_012628617
Chr06_12837292,chr06_012837292
Chr06_13205959,chr06_013205959
Chr06_13609992,chr06_013609992
Chr06_13934005,chr06_013934005
chr06_14435074,chr06_014435074
Chr06_14999303,chr06_014999303
Chr06_14999304,chr06_014999304
Chr06_14999305,chr06_014999305
Chr06_15367890,chr06_015367890
Chr06_15367929,chr06_015367929
Chr06_15368966,chr06_015368966
Chr06_15584382,chr06_015584382
Chr06_15976994,chr06_015976994
Chr06_16124158,chr06_016124158
Chr06_16124201,chr06_016124201
Chr06_16487405,chr06_016487405
Chr06_16952367,chr06_016952367
Chr06_17295083,chr06_017295083
Chr06_17612111,chr06_017612111
Chr06_18068021,chr06_018068021
Chr06_18694604,chr06_018694604
Chr06_19152772,chr06_019152772
Chr06_19412045,chr06_019412045
Chr06_19677446,chr06_019677446
Chr06_19684920,chr06_019684920
Chr06_20686382,chr06_020686382
Chr06_20864310,chr06_020864310
Chr06_21634007,chr06_021634007
Chr06_21634010,chr06_021634010
Chr06_21634060,chr06_021634060
Chr06_21634119,chr06_021634119
Chr06_21634141,chr06_021634141
Chr06_21634145,chr06_021634145
Chr06_21634203,chr06_021634203
Chr06_21865699,chr06_021865699
Chr06_22324217,chr06_022324217
Chr06_22712475,chr06_022712475
Chr06_23154622,chr06_023154622
Chr06_23537562,chr06_023537562
Chr06_23794270,chr06_023794270
Chr06_24490439,chr06_024490439
Chr06_24490501,chr06_024490501
Chr06_24699373,chr06_024699373
Chr06_25184617,chr06_025184617
Chr06_25571656,chr06_025571656
chr06_26213492,chr06_026213492
chr06_26439248,chr06_026439248
Chr06_26641048,chr06_026641048
Chr06_26641090,chr06_026641090
Chr06_26641127,chr06_026641127
Chr06_26641161,chr06_026641161
Chr06_26746365,chr06_026746365
Chr06_26746431,chr06_026746431
Chr06_26996665,chr06_026996665
Chr06_26996737,chr06_026996737
Chr06_27084660,chr06_027084660
Chr06_27166748,chr06_027166748
Chr06_27605647,chr06_027605647
Chr06_27605768,chr06_027605768
Chr06_27605781,chr06_027605781
Chr06_27848344,chr06_027848344
Chr06_28048998,chr06_028048998
Chr06_28340948,chr06_028340948
Chr06_28744192,chr06_028744192
Chr06_29229477,chr06_029229477
Chr06_29229489,chr06_029229489
Chr06_29229509,chr06_029229509
Chr06_29229544,chr06_029229544
Chr06_29229552,chr06_029229552
Chr06_29229602,chr06_029229602
Chr06_29229632,chr06_029229632
Chr06_29229696,chr06_029229696
Chr06_29310123,chr06_029310123
Chr06_29469594,chr06_029469594
Chr06_29856646,chr06_029856646
Chr06_30365112,chr06_030365112
Chr06_30365141,chr06_030365141
Chr06_30365142,chr06_030365142
Chr06_30365248,chr06_030365248
Chr06_30420462,chr06_030420462
Chr06_30592347,chr06_030592347
Chr06_31044135,chr06_031044135
Chr06_31386380,chr06_031386380
Chr06_31704367,chr06_031704367
Chr06_31704400,chr06_031704400
chr06_32013974,chr06_032013974
Chr06_32422241,chr06_032422241
Chr06_32430270,chr06_032430270
Chr06_32430383,chr06_032430383
Chr06_32544161,chr06_032544161
Chr06_32976417,chr06_032976417
Chr06_32976427,chr06_032976427
Chr06_32976472,chr06_032976472
Chr06_32976504,chr06_032976504
Chr06_33423108,chr06_033423108
Chr06_33423181,chr06_033423181
Chr06_33423220,chr06_033423220
Chr06_33423235,chr06_033423235
Chr06_33423242,chr06_033423242
Chr06_33423268,chr06_033423268
Chr06_33423295,chr06_033423295
Chr06_33839632,chr06_033839632
Chr06_33839673,chr06_033839673
Chr06_33839713,chr06_033839713
Chr06_33839745,chr06_033839745
Chr06_33984618,chr06_033984618
Chr06_33984771,chr06_033984771
Chr06_34304922,chr06_034304922
Chr06_34413312,chr06_034413312
Chr06_34503772,chr06_034503772
Chr06_34606099,chr06_034606099
Chr06_34643731,chr06_034643731
Chr06_34763165,chr06_034763165
Chr06_34763290,chr06_034763290
Chr06_34766145,chr06_034766145
chr06_35021533,chr06_035021533
Chr06_35060429,chr06_035060429
Chr06_35200046,chr06_035200046
Chr06_35498829,chr06_035498829
Chr06_35518356,chr06_035518356
Chr06_35528045,chr06_035528045
Chr06_35713371,chr06_035713371
Chr06_35714276,chr06_035714276
Chr06_35982771,chr06_035982771
Chr06_36138567,chr06_036138567
Chr06_36508915,chr06_036508915
Chr06_36724266,chr06_036724266
Chr06_36727409,chr06_036727409
Chr06_36727437,chr06_036727437
Chr06_36779657,chr06_036779657
Chr06_36779706,chr06_036779706
Chr06_36952085,chr06_036952085
Chr06_37116119,chr06_037116119
Chr06_37346972,chr06_037346972
Chr06_37347029,chr06_037347029
Chr06_37610244,chr06_037610244
Chr06_37720941,chr06_037720941
Chr06_37720981,chr06_037720981
Chr06_37726272,chr06_037726272
Chr06_37726381,chr06_037726381
Chr06_37870062,chr06_037870062
Chr06_37870083,chr06_037870083
Chr06_37870200,chr06_037870200
Chr06_38027474,chr06_038027474
Chr06_38338641,chr06_038338641
Chr06_38714178,chr06_038714178
Chr06_39380698,chr06_039380698
Chr06_39633259,chr06_039633259
Chr06_40284475,chr06_040284475
Chr07_00387248,chr07_000387248
Chr07_00387303,chr07_000387303
Chr07_00730009,chr07_000730009
Chr07_00730085,chr07_000730085
Chr07_00800735,chr07_000800735
Chr07_00800741,chr07_000800741
Chr07_00800794,chr07_000800794
Chr07_00982994,chr07_000982994
Chr07_01270599,chr07_001270599
Chr07_01270606,chr07_001270606
Chr07_01270619,chr07_001270619
Chr07_01270623,chr07_001270623
Chr07_01272200,chr07_001272200
Chr07_01366516,chr07_001366516
Chr07_01366597,chr07_001366597
Chr07_01413687,chr07_001413687
Chr07_01466226,chr07_001466226
Chr07_01504514,chr07_001504514
Chr07_01562431,chr07_001562431
Chr07_01733994,chr07_001733994
Chr07_01733999,chr07_001733999
Chr07_02306855,chr07_002306855
Chr07_02436899,chr07_002436899
Chr07_02440250,chr07_002440250
Chr07_02467080,chr07_002467080
Chr07_02476957,chr07_002476957
Chr07_02480346,chr07_002480346
Chr07_02803021,chr07_002803021
Chr07_02897486,chr07_002897486
Chr07_02897512,chr07_002897512
Chr07_02897532,chr07_002897532
Chr07_02897585,chr07_002897585
Chr07_02897639,chr07_002897639
chr07_02958193,chr07_002958193
Chr07_03169496,chr07_003169496
Chr07_03169613,chr07_003169613
Chr07_03200721,chr07_003200721
Chr07_03200747,chr07_003200747
Chr07_03200778,chr07_003200778
Chr07_03241655,chr07_003241655
Chr07_03241755,chr07_003241755
Chr07_03862670,chr07_003862670
Chr07_04249442,chr07_004249442
